Word,Parts of speech,Suffix
অংশীদার,বিশেষ্য,ার
অংশ্যমান,বিশেষণ,ন
অকটবিকট,বিশেষ্য,িকট
অকরণী,বিশেষ্য,ী
অকরুণ,বিশেষণ,ণ
অকর্ণ,বিশেষণ,ণ
অকর্তব্য,বিশেষণ,তব্য
অকলঙ্ক,বিশেষণ,্ক
অকলুষ,বিশেষ্য,ষ
অকল্পিত,বিশেষণ,পিত
অকল্মষ,বিশেষণ,মষ
অকল্যাণ,বিশেষ্য,যাণ
অকষ্ট,বিশেষণ,ট
অকষ্টকল্পনা,বিশেষ্য,টকল্পনা
অকষ্টবদ্ধ,বিশেষণ,টবদ্ধ
অকস্মাত্,অব্যয়,্
অকারান্ত,বিশেষণ,ন্ত
অকার্য,বিশেষ্য,য
অকিঞ্চন,বিশেষণ,্চন
অকীর্তি,বিশেষ্য,্তি
অকুতোভয়,বিশেষণ,োভয়
অকুলীন,বিশেষণ,ীন
অকুশল,বিশেষ্য,ল
অকূপার,বিশেষ্য,র
অকৃতজ্ঞ,বিশেষণ,্ঞ
অকৃতাপরাধ,বিশেষণ,পরাধ
অকৃতার্থ,বিশেষণ,র্থ
অকৃতোদ্বাহ,বিশেষণ,দ্বাহ
অকৃত্রিম,বিশেষণ,রিম
অকেজো,বিশেষণ,ো
অক্টোপাস,বিশেষ্য,স
অক্ষটি,বিশেষ্য,ি
অক্ষাংশ,বিশেষ্য,ংশ
অক্ষান্তি,বিশেষ্য,ন্তি
অক্ষীয়,বিশেষণ,য়
অক্ষুণ্ণ,বিশেষণ,ণ্ণ
অক্ষুব্ধ,বিশেষণ,ব্ধ
অক্ষোভ,বিশেষণ,ভ
অক্ষৌহিণী,বিশেষ্য,হিণী
অক্সিজেন,বিশেষ্য,ন
অখনতখন,বিশেষণ,খন
অগড়বগড়,বিশেষ্য,়বগড়
অগতি,বিশেষণ,ি
অগন্তব্য,বিশেষণ,্তব্য
অগভীর,বিশেষণ,ীর
অগম্য,বিশেষণ,্য
অগম্যা,বিশেষণ,্যা
অগাধ,বিশেষণ,ধ
অগুরু,বিশেষ্য,রু
অগোচর,বিশেষণ,চর
অগোছালো,বিশেষণ,ছালো
অগোপন,বিশেষ্য,পন
অগোর,বিশেষ্য,র
অগৌণ,বিশেষ্য,ণ
অগৌরব,বিশেষ্য,রব
অগ্নায়ী,বিশেষ্য,নায়ী
অগ্নি,বিশেষ্য,নি
অগ্ন্যাধান,বিশেষ্য,ন্যাধান
অগ্ন্যাশয়,বিশেষ্য,ন্যাশয়
অগ্ন্যাস্ত্র,বিশেষ্য,ন্যাস্ত্র
অগ্ন্যুত্পাত,বিশেষ্য,ন্যুত্পাত
অগ্ন্যুত্সব,বিশেষ্য,ন্যুত্সব
অগ্র,বিশেষ্য,র
অগ্রহণ,বিশেষ্য,রহণ
অগ্রহণীয়,বিশেষণ,রহণীয়
অগ্রহায়ণ,বিশেষ্য,রহায়ণ
অগ্রাধিকার,বিশেষ্য,রাধিকার
অগ্রাহ্য,বিশেষণ,রাহ্য
অগ্র্য,বিশেষণ,র্য
অঘটন,বিশেষ্য,ন
অঘটনঘটনপটীয়সী,বিশেষণ,নঘটনপটীয়সী
অঘাট,বিশেষ্য,ট
অঘাসূর,বিশেষ্য,সূর
অঘোষ,বিশেষণ,ষ
অঘ্রাত,বিশেষণ,রাত
অঙ্কিত,বিশেষণ,ত
অঙ্কুট,বিশেষ্য,ট
অঙ্কুর,বিশেষ্য,র
অঙ্কুরিত,বিশেষণ,রিত
অঙ্কুশ,বিশেষ্য,শ
অঙ্কোপরি,অব্যয়,পরি
অঙ্গনা,বিশেষ্য,া
অঙ্গাঙ্গি,বিশেষ্য,ঙ্গি
অঙ্গাবরণ,বিশেষ্য,বরণ
অঙ্গিরা,বিশেষ্য,রা
অঙ্গীকরণ,বিশেষ্য,করণ
অঙ্গীকার,বিশেষ্য,কার
অঙ্গীভূত,বিশেষণ,ভূত
অঙ্গুলি,বিশেষ্য,লি
অঙ্গুষ্ঠ,বিশেষ্য,ষ্ঠ
অচক্ষু,বিশেষণ,ষু
অচরিতার্থ,বিশেষণ,তার্থ
অচর্চিত,বিশেষণ,চিত
অচর্বনীয়,বিশেষণ,বনীয়
অচর্বিত,বিশেষণ,বিত
অচাঞ্চল্য,বিশেষ্য,্চল্য
অচালন,বিশেষ্য,ন
অচিকিত্সা,বিশেষ্য,ত্সা
অচিকির্ষা,বিশেষ্য,র্ষা
অচ্ছিদ্র,বিশেষণ,দ্র
অচ্ছিন্ন,বিশেষণ,ন্ন
অচ্ছেদনীয়,বিশেষণ,দনীয়
অচ্ছেদ্য,বিশেষণ,দ্য
অচ্ছোদ,বিশেষণ,দ
অছিলা,বিশেষ্য,া
অছিয়তনামা,বিশেষ্য,তনামা
অজগর,বিশেষ্য,র
অজচ্ছল,বিশেষণ,্ছল
অজজীবক,বিশেষণ,ীবক
অজন্ত,বিশেষণ,্ত
অজন্মা,বিশেষ্য,্মা
অজপা,বিশেষ্য,া
অজবীথি,বিশেষ্য,ীথি
অজমীঢ়,বিশেষ্য,ীঢ়
অজস্র,বিশেষণ,্র
অজাগলস্তন,বিশেষ্য,গলস্তন
অজাত,বিশেষণ,ত
অজামিল,বিশেষ্য,মিল
অজিজ্ঞাসু,বিশেষণ,জ্ঞাসু
অজিতেন্দ্রিয়,বিশেষণ,তেন্দ্রিয়
অজিন,বিশেষ্য,ন
অজিফা,বিশেষ্য,ফা
অজিহ্ব,বিশেষণ,হ্ব
অজীবিক,বিশেষণ,বিক
অজীর্ণ,বিশেষণ,র্ণ
অজুরদার,বিশেষ্য,রদার
অজুহাত,বিশেষ্য,হাত
অজেয়,বিশেষণ,য়
অজৈব,বিশেষণ,ব
অজ্ঞ,বিশেষণ,ঞ
অজ্ঞাত,বিশেষণ,ঞাত
অজ্ঞান,বিশেষণ,ঞান
অজ্ঞেয়,বিশেষণ,ঞেয়
অজ্ব,বিশেষ্য,ব
অটোগ্রাফ,বিশেষ্য,্রাফ
অট্টালিকা,বিশেষ্য,লিকা
অতঃপর,অব্যয়,পর
অতএব,অব্যয়,ব
অতথা,বিশেষ্য,া
অতথ্য,বিশেষণ,্য
অতনু,বিশেষণ,ু
অতরল,বিশেষণ,ল
অতর্ক,বিশেষ্য,্ক
অতর্কিত,বিশেষণ,্কিত
অতলান্তিক,বিশেষ্য,ান্তিক
অতসী,বিশেষ্য,ী
অতিথি,বিশেষ্য,থি
অতিভুজ,বিশেষ্য,ভুজ
অতিষ্ঠ,বিশেষণ,ষ্ঠ
অতীক্ষ্ণ,বিশেষণ,ক্ষ্ণ
অতীত,বিশেষণ,ত
অতীন্দ্রিয়,বিশেষণ,ন্দ্রিয়
অতীব,বিশেষণ,ব
অতুল,বিশেষণ,ল
অতুষ্ট,বিশেষণ,ষ্ট
অতুষ্টি,বিশেষ্য,ষ্টি
