Parts of speech,Suffix
বিশেষণ,দার
বিশেষ্য,ী
বিশেষ্য,াণ
বিশেষ্য,া
বিশেষণ,বদ্ধ
বিশেষ্য,ণ
বিশেষ্য,ান্ত
বিশেষ্য,্য
বিশেষ্য,ি
বিশেষ্য,ীন
বিশেষণ,জ্ঞ
বিশেষণ,দার
বিশেষণ,াপরাধ
বিশেষণ,ার্থ
বিশেষণ,ী
বিশেষণ,োদ্বাহ
বিশেষণ,য
বিশেষ্য,ম
বিশেষণ,স
বিশেষণ,া
বিশেষ্য,টি
বিশেষ্য,ত
বিশেষ্য,ম
বিশেষ্য,র
বিশেষ্য,াংশ
বিশেষণ,ি
বিশেষ্য,ার
বিশেষ্য,ি
বিশেষ্য,ীয়
বিশেষ্য,ুণ্ণ
বিশেষ্য,ুব্ধ
বিশেষ্য,োভ
বিশেষ্য,ৌহিণী
বিশেষ্য,য়
বিশেষণ,া
বিশেষ্য,লো
বিশেষ্য,্ত্র
বিশেষ্য,ণ
বিশেষ্য,ীয়
বিশেষ্য,ায়ণ
বিশেষ্য,র
বিশেষ্য,্য
বিশেষ্য,িম
বিশেষ্য,্য
বিশেষ্য,ঘটনপটীয়সী
বিশেষ্য,ন
বিশেষ্য,িত
বিশেষ্য,ী
বিশেষণ,য়
বিশেষ্য,ুট
বিশেষ্য,ুর
বিশেষ্য,িত
বিশেষ্য,ুশ
বিশেষ্য,োপরি
বিশেষ্য,দ
বিশেষ্য,না
বিশেষণ,ি
বিশেষ্য,াবরণ
বিশেষ্য,ার
বিশেষ্য,িরা
বিশেষ্য,ী
বিশেষণ,করণ
বিশেষণ,কার
বিশেষণ,ভূত
বিশেষ্য,ুলি
বিশেষ্য,ুষ্ঠ
বিশেষ্য,ার্থ
বিশেষ্য,ত
বিশেষ্য,িত
বিশেষণ,া
বিশেষণ,দ
বিশেষণ,িদ্র
বিশেষণ,িন্ন
বিশেষণ,েদনীয়
বিশেষণ,েদ্য
বিশেষণ,োদ
বিশেষ্য,া
বিশেষণ,েন্দ্রিয়
বিশেষণ,াত
বিশেষণ,ান
বিশেষণ,েয়
বিশেষ্য,া
বিশেষ্য,কা
বিশেষ্য,িত
বিশেষণ,ি
বিশেষ্য,সহন
ক্রিয়া,র
বিশেষ্য,ক
বিশেষণ,ক
বিশেষণ,ি
বিশেষণ,ি
অব্যয়,ি
বিশেষ্য,নীয়
বিশেষ্য,ি
বিশেষ্য,গোচর
বিশেষ্য,ক
বিশেষ্য,তীয়
বিশেষ্য,্য
বিশেষণ,মৃত
বিশেষণ,িক
বিশেষণ,রণ
বিশেষণ,াংশ
বিশেষণ,্য
বিশেষণ,ৃত
বিশেষণ,্রম
বিশেষণ,্ষিপ্ত
বিশেষণ,্ষেত্র
বিশেষণ,্ষেপ
বিশেষণ,তা
বিশেষ্য,ণ
বিশেষণ,ষ
বিশেষ্য,বাদ
বিশেষ্য,িত
বিশেষ্য,ী
বিশেষ্য,্য
বিশেষণ,ি
বিশেষণ,্ম
বিশেষণ,র
বিশেষণ,ক্রান্ত
বিশেষ্য,য়
বিশেষণ,র
বিশেষণ,োপায়
বিশেষ্য,ক
বিশেষ্য,র
বিশেষণ,া
বিশেষ্য,্য
বিশেষণ,ঙ্ক্ষা
বিশেষ্য,ণ
বিশেষ্য,্য
ক্রিয়া,র
বিশেষ্য,য়
বিশেষণ,ন্ত
বিশেষণ,ার
বিশেষণ,ক
বিশেষণ,ল
বিশেষণ,ষ্কৃত
বিশেষণ,ষ্ট
বিশেষণ,্তি
ক্রিয়া,রি
বিশেষণ,ি
বিশেষ্য,িত
বিশেষণ,ন
বিশেষণ,্য
বিশেষ্য,িত
বিশেষ্য,ত
বিশেষ্য,্য
বিশেষ্য,ত
বিশেষণ,কার
বিশেষ্য,ত
বিশেষণ,ত
বিশেষণ,মন
বিশেষ্য,ত
বিশেষণ,্র
বিশেষণ,হ
বিশেষণ,ার
বিশেষণ,ীবী
বিশেষণ,ীব্য
বিশেষণ,্জ্বল
বিশেষণ,্ঞা
বিশেষ্য,গ্ন
বিশেষণ,কার
বিশেষণ,দিষ্ট
বিশেষণ,পত্তি
বিশেষণ,ম
বিশেষণ,যুক্ত
বিশেষণ,ল
বিশেষ্য,ব্ধি
বিশেষণ,স্হিত
বিশেষণ,াত
বিশেষণ,ান
বিশেষণ,ায়
বিশেষণ,ুঙ্খ
বিশেষণ,ূরক
বিশেষণ,ূর্ব
বিশেষণ,েত
বিশেষণ,্ত
বিশেষণ,্রবেশ
বিশেষণ,্রস্হ
বিশেষ্য,ন
বিশেষ্য,িত
বিশেষণ,্রাস
বিশেষ্য,া
বিশেষ্য,ন
বিশেষ্য,ি
বিশেষ্য,িত
বিশেষ্য,ী
বিশেষ্য,তি
বিশেষ্য,মিক
বিশেষ্য,্যা
বিশেষণ,ম
বিশেষ্য,্য
বিশেষ্য,ীয়
বিশেষণ,্সা
বিশেষণ,ান্ত
বিশেষণ,ণ
বিশেষণ,ি
বিশেষণ,াংশ
বিশেষ্য,িক
বিশেষ্য,য
বিশেষ্য,র
বিশেষ্য,ঙ্গ
বিশেষ্য,া
বিশেষ্য,ত্মা
বিশেষ্য,ল
বিশেষ্য,য়
বিশেষ্য,িত
বিশেষ্য,িন্দ্রিয়
বিশেষ্য,ীপ
বিশেষ্য,ীয়
বিশেষ্য,্গত
বিশেষ্য,্গূঢ়
বিশেষ্য,্গৃহ
বিশেষ্য,্গ্লানি
বিশেষ্য,্ঘাত
বিশেষ্য,্জগত্
বিশেষ্য,্জলি
ক্রিয়া,তীয়
বিশেষ্য,্দশন
বিশেষ্য,্দশা
বিশেষ্য,্দাহ
বিশেষ্য,্দীপন
বিশেষণ,ি
বিশেষ্য,্দেশ
বিশেষ্য,্ধান
বিশেষ্য,্নিবিষ্ট
বিশেষ্য,্নিহিত
বিশেষ্য,্বতী
বিশেষ্য,্বত্নী
বিশেষ্য,্বাণিজ্য
বিশেষ্য,্বাষ্প
বিশেষ্য,্বাস
বিশেষ্য,্বাহী
বিশেষ্য,্বিগ্রহ
বিশেষ্য,্বিপ্লব
বিশেষ্য,্বিবাহ
বিশেষ্য,্বিরোধ
বিশেষ্য,্বেদনা
বিশেষ্য,্ভুক্ত
বিশেষ্য,্ভূত
বিশেষ্য,্ভেদী
বিশেষ্য,্মাধুর্য
বিশেষ্য,্মুখ
বিশেষণ,িতা
বিশেষ্য,্যামী
বিশেষ্য,্লীন
বিশেষ্য,্হিত
বিশেষ্য,স্তল
বিশেষ্য,স্হ
বিশেষ্য,হীন
বিশেষ্য,িক
বিশেষ্য,িম
বিশেষ্য,েবাসী
বিশেষ্য,্য
বিশেষণ,াক্ষরি
বিশেষণ,ানুপ্রাস
বিশেষণ,েষ্টি
বিশেষ্য,্র
বিশেষ্য,কার
বিশেষ্য,িসন্ধি
বিশেষ্য,্র
বিশেষণ,ান্য
বিশেষণ,ায্য
বিশেষ্য,ক্ত
বিশেষণ,ায়
বিশেষণ,ূন
বিশেষণ,োন্য
বিশেষ্য,ত
বিশেষণ,ি
বিশেষণ,িত
বিশেষ্য,ক
ক্রিয়া,ন
বিশেষ্য,া
বিশেষণ,ণ
বিশেষ্য,যু
বিশেষণ,ঙ্মুখ
বিশেষ্য,ত
বিশেষণ,জেয়
বিশেষণ,ধ
বিশেষণ,পর
